Product Name,Price,Ratings,Watchers,Country,Discount,Shipping Price,Condition,Seller Name,Seller Sold Products,Seller Ratings
Shop on eBay,2000,Not available,Not available,Not available,Not available,0,Brand New,Not available,0,Not available
Shop on eBay,2000,Not available,Not available,Not available,Not available,0,Brand New,Not available,0,Not available
"5G Unlocked 6.8"" New Android Smartphone Dual Sim Mobile Phone 8+256 GB",11500,Not available,Not available,from China,Not available,999,Brand New,vccv-tech,13,88.2%
Unlocked Original Motorola RAZR V3 GSM 2G MP4Java CAMERA Retro Flip Mobile Phone,30853267,Not available,Not available,from China,9% off,299,Open Box,plustoptrade,99,98%
"Samsung Galaxy A54 5G 128GB SM-A546 50 MP (SIM+eSIM) T-Mobile, AT&, Unlocked",1599922999,Not available,19+ watchers,from United States,50% off,3130,Open Box,fonelogics,4986,97.2%
"New ListingMobile Phone Bundle - Spares or Repairs - HTC, SAMSUNG, BLACKBERRY",2622,Not available,Not available,from United Kingdom,Not available,6697,Pre-Owned,davehart,1140,100%
OnePlus 10T 5G CPH2419 T-Mobile Unlocked 128GB Moonstone Black Good,17999,Not available,Not available,from United States,Not available,3189,Good - Refurbished,yywirelesss,143057,97.7%
"Unlocked 6"" New Android Smartphone Dual Sim Mobile Phone Cheap Phone",4999,Not available,18+ watchers,from China,Not available,999,Brand New,vccv-tech,13,88.2%
Motorola Moto Edge (2022) XT2205-1 T-Mobile Unlocked 128GB Grey Good,8999,Not available,Not available,from United States,Not available,2923,Good - Refurbished,yywirelesss,143057,97.7%
Samsung Galaxy A05S A05 128GB 4GB Dual Sim Unlocked Sim free Mobile Phone New UK,1022313107,Not available,10+ watchers,from United Kingdom,Not available,5182,Brand New,urbancreepuk,23846,98.3%
New ListingHonor X7A - 128GB - Ocean Blue Unlocked (Dual SIM)  MOBILE PHONE  X7A,6554,Not available,Not available,from United Kingdom,Not available,5925,New (Other),311264bagpuss,5128,100%
Alcatel 1C 5003D Volcano Black Mobile Smart Phone,2228,Not available,Not available,from United Kingdom,Not available,6611,Pre-Owned,eastangliaschildrenshospices,48123,99.8%
Nokia 3310 Navy blue Unlocked 2G GSM 900/1800 Mobile Phone (with Snake II Game),2730,Not available,Not available,from China,Not available,0,Pre-Owned,topmoilephones,232,92.6%
Motorola Moto X-black,999,Not available,Not available,from United States,Not available,3187,Open Box,beckyh04,5,100%
Nokia C2-01 - Black (Unlocked) Mobile Phone,3931,353 product ratings,Not available,from United Kingdom,Not available,3933,Brand New,jushman_2,17350,97.4%
"C24 Ultra 5G Smartphone Unlocked 6.8"" Android Dual Sim Mobile Phone 6+256 GB",13800,Not available,Not available,from China,Not available,999,Brand New,vccv-tech,13,88.2%
"5G Unlocked 6.8"" New Android Smartphone Dual Sim Mobile Phone 6+128 GB",10999,Not available,Not available,from China,Not available,999,Brand New,vccv-tech,13,88.2%
"5G Unlocked 6.8"" New Android Smartphone Dual Sim Mobile Phone 16GB +1TB Cheap",12890,Not available,30+ watchers,from China,Not available,999,Brand New,vccv-tech,13,88.2%
Apple iPhone 4 & 5 Blackberry Bundle Mobile Phones UNTESTED,1310,Not available,Not available,from United Kingdom,Not available,6717,Pre-Owned,wisdomhospiceshops,2663,99.8%
6.7 Inch Unlocked i15 Pro Max Android Smartphone Dual Sim 3G 4G Phone Mobile,63697069,Not available,Not available,from China,Not available,0,Brand New,kirinmarket,141,94.9%
Apple iPhone 11 - 64 GB - Black (T-Mobile),15250,37 product ratings,Not available,from United States,Not available,4348,Pre-Owned,procell33,187,100%
Motorola T-Mobile Sidekick Slide (Q700) 12MB - Red QWERTY Cell Phone New,2925,Not available,188 watchers,from United States,Not available,1917,Open Box,biblebell01,3066,98.4%
📱 Apple iPhone 4S 8/16/32GB - Unlocked Used Full function mobile phone IOS9📱,22002800,34 product ratings,10+ watchers,from China,Not available,700,Pre-Owned,gsm-mobile,60,88.9%
Samsung Galaxy A14 5G 128GB 6GB Unlocked Mobile Phone New UK SELLER All Colours,1402520972,22 product ratings,10+ watchers,from United Kingdom,Not available,5267,Brand New,urbancreepuk,23846,98.3%
Motorola RAZR V3 Flip Bluetooth MP4 video Unlocked GSM Mobile Phone (8 Colors),3399,Not available,59+ watchers,from China,Not available,0,Pre-Owned,rxyamobile,212,96.9%
"New CAT S62 T-Mobile 4G 128GB 5.7"" Rugged Android Smartphone New in Retail Box",14499,11 product ratings,Not available,from United States,Not available,3041,Brand New,top-choice-imports,170876,99.1%
Blackberry Classic Q20 Black Unlocked 16GB 2GB RAM Qwerty Mobile Smartphone,8290,127 product ratings,Not available,from United Kingdom,Not available,5069,Pre-Owned,special_offers1,31866,97.9%
New ListingSamsung Galaxy S21 FE 5G 128GB Graphite Unlocked Smashed Screen Works 853,9175,Not available,Not available,from United Kingdom,Not available,3931,Pre-Owned,ecoutlet,48400,98.5%
"S24 Ultra 5G Smartphone 7.3"" Factory Unlocked Mobile Phone Android 14 Cell Phone",599918999,Not available,3+ watchers,from China,Not available,0,Brand New,beo1090,9,90.9%
Motorola RAZR V3 Unlocked Flip GSM 850 /900 /1800 /1900 Bluetooth  Mobile Phone,3352,Not available,Not available,from China,Not available,0,Pre-Owned,gogofastphones,57,100%
Motorola RAZR V3 Retro Flip Phone - All Colours Unlocked - Pristine GRADE A+,44564849,5 product ratings,Not available,from United Kingdom,Not available,4951,Pre-Owned,ireco.ltd,20217,98.7%
Brand New Nokia 106 Unlocked Mobile Phone Various Colour Unlocked Sim Free,1834,Not available,Not available,from United Kingdom,Not available,3277,Brand New,dotcom-deals,12010,98.1%
Original Samsung W2019 Flagship Flip Smartphone 12MP Unlocked 4G Mobile Phone,6051565520,Not available,23+ watchers,from China,9% off,299,Open Box,plustoptrade,99,98%
Original Unlocked Samsung Galaxy Folder2(SM-G160N)LTE 4G 8.0 MP Smartphone 1 SIM,1186812900,Not available,52+ watchers,from Hong Kong,8% off,399,Open Box,valueorder,13668,95%
SAMSUNG GALAXY S10e CELL PHONE WITHOUT BOX LQQK! #3,5100,Not available,Not available,from United States,Not available,3564,Open Box,collectioncaboodle,1398,98.6%
Motorola RAZR V3i Flip Mobile Phone Without Simlock GSM Cellular Phone Mobile Phone,31943635,14 product ratings,19+ watchers,from China,Not available,441,Pre-Owned,sokany-eu,521,98.7%
Motorola Razr V3i Dolce Gabbnna (Limited Edition) Unlocked Flip Mobile Phone,4000,Not available,155 watchers,from China,Not available,0,Pre-Owned,winwintrade2022,493,97.7%
New ListingNokia Nseries N93 (Unlocked) Mobile Phone Silver Excellent Condition Rare,39194,Not available,Not available,from United Kingdom,Not available,6136,Pre-Owned,ujra_uk,2368,99.6%
Google Pixel 6 | 6a | 6 Pro - 128GB 256GB 512GB - Unlocked Verizon T-Mobile AT&T,1399522995,Not available,2+ watchers,from United States,Not available,3056,Very Good - Refurbished,tech-hobbies,5306,99.7%
Apple iPhone 1st Generation - 8GB - Black (AT&T) A1203 (GSM) Fully Functional,8499,41 product ratings,117 watchers,from United States,Not available,1690,Pre-Owned,sellingtech14,567,100%
NEW Samsung Galaxy S21 5G SM-G991U 128/256GB Unlocked AT&T T-Mobile GSM+CDMA,23699,239 product ratings,12+ watchers,from United States,Not available,3313,Brand New,ruiz.tech,4801,96.2%
"Samsung Galaxy S21 5G SM-G991U 128GB/8GB 6.2"" T-Mobile Smartphone - Phantom Gray",22573,52 product ratings,10 watchers,from United States,59% off,3279,Open Box,tradeportusa,167234,98%
"Oval mobile phone tiny, Mini Phone , Small Phone, Baby Phone, Tiny Phone, Nano.",3931,Not available,Not available,from United Kingdom,Not available,523,Brand New,warehouse449,26,77.8%
Apple iPhone 12 64GB in Black (UNLOCKED) Good Condition 96%-99% Battery Health,27856,3 product ratings,9 watchers,from United Kingdom,Not available,5744,Pre-Owned,thehardwarepros,1961,99.4%
[Near Mint] KYOCERA 902KC DIGNO 3 ANDROID FLIP PHONE Mobile phone UNLOCKED,10699,Not available,22 watchers,from Japan,Not available,0,Pre-Owned,st-store-tokyo,609,99.7%
Apple iPhone SE 1st gen(2016)16/32/64/128GB Fully UNLOCKED Gray/Silver/Gold/Pink,659911599,Not available,7+ watchers,from China,Not available,0,Open Box,cuisiting-005,108,95.6%
Nokia N Series N97 Mobile Phone & Accessories in Original Box ( FOR PARTS ONLY ),6772,Not available,Not available,from Australia,Not available,2545,Pre-Owned,alphasales1111,954,99.4%
Unlocked Original NOKIA N95 8GB Mobile Phone 3G 5MP Wifi GPS 2.8''Screen GSM,5188,Not available,Not available,from China,8% off,399,Pre-Owned,valueorder,13668,95%
New Condition-  Nokia 8310 (Unlocked)- Red/White Mobile Phone-Warranty,27502751,Not available,Not available,from United Kingdom,Not available,4878,Brand New,crazyshop-uk,736,94.1%
Nokia N Series N95 - Deep plum 2.6″ 3G GSM  Wifi 5MP Slider Unlocked Smartphone,4200,Not available,443 watchers,from China,Not available,0,Pre-Owned,forevertopstore,391,95.3%
Nokia 6310i - Gold ( Unlocked ) Mobile Phone,11796,120 product ratings,Not available,from United Kingdom,Not available,5190,Pre-Owned,fon3s,9002,99.3%
2024 Factory Unlocked Android Cheap Cell Phone Smartphone Dual SIM USA Quad Core,7999,Not available,Not available,from United States,Not available,2849,Brand New,ukstartech,15997,97.1%
IMO Dash Black ( Unlocked ) Mobile Phone Big Button,2004,Not available,4 watchers,from United Kingdom,Not available,4853,Pre-Owned,fon3s,9002,99.3%
New ListingDOCOMO KY-01L Card Mobile Docomo Body,15162,Not available,Not available,from Japan,Not available,0,Pre-Owned,omotenashi_quality,4856,98.8%
SHARP SH-01J AQUOS mobile phone blue black Docomo unlocked Free Expedited Japan,4749,Not available,13 watchers,from Japan,5% off,0,Pre-Owned,kenz-1425,124,99.2%
Apple iPhone 11 Pro 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,27995,Not available,Not available,from United States,76% off,3484,Very Good - Refurbished,supplytronics,109834,98.4%
Limited Edition Motorola Razr V3i DOLCE GABBNNA Unlocked Flip Mobile Phone,4200,Not available,113 watchers,from China,Not available,0,Pre-Owned,winwintrade2022,493,97.7%
"ZTE Blade V40 Vita 4G 128GB 6.74"" IPS 48MP Triple Camera Android 4G Smartphone",6499,Not available,Not available,from United States,Not available,2805,Brand New,camel_crush,357,100%
New ListingNOKIA 6310i MOBILE PHONE Gold/Black,1310,Not available,Not available,from United Kingdom,Not available,6710,Parts Only,newmarketopendoorcharity,694,99.7%
Nokia N97 Mini Original Unlocked Phone 3G WIfi GPS 8GB Symbian Smartphone QWERTY,6900,Not available,114+ watchers,from Hong Kong,8% off,350,Pre-Owned,goodeplus,1991,94.9%
NOKIA N97 mini smartphone phone mobile Symbian UNLOCKED USED ORIGINAL 2008,3600,Not available,Not available,from Poland,Not available,800,Pre-Owned,lenin_not_dead,124,100%
Mobile phone FOMA D800iDS #QP67WZ,21554,Not available,Not available,from Japan,Not available,0,Pre-Owned,garage-kamakura,382,96.9%
Samsung Galaxy A52 5G - 128GB - Awesome Black (GSM Unlocked) - Pristine,13900,Not available,Not available,from United States,Not available,3068,Open Box,havearly,10652,99.2%
Wingtech REVVL 6x Pro TMRV06P5G T-Mobile Unlocked 256GB Dark Blue Good,8499,Not available,Not available,from United States,Not available,2864,Good - Refurbished,yywirelesss,143057,97.7%
OnePlus 9 LE2117 T-Mobile Unlocked 128GB Winter Mist Good,14199,3 product ratings,Not available,from United States,Not available,3077,Good - Refurbished,yywirelesss,143057,97.7%
New Apple iPhone SE 3rd Gen Boost/Straight Talk/T-Mobile/Verizon 64GB 128GB 256G,13999,Not available,Not available,from United States,Not available,3026,Open Box,innovee.tech,21602,98.6%
Unlocked Flip Dual Sim Card Mobile Phone Led Flashlight Girl Women Cellphone Hot,3803,Not available,344 watchers,from United Kingdom,Not available,5044,Brand New,qtek5574,48,92.7%
"NEW TCL 40 SE Unlocked Smartphone with 6.7""Display, 256GB Memory purple",10887,Not available,Not available,from United States,Not available,2979,Brand New,tojostore,5369,98.1%
Samsung Galaxy A03s SM-A037U 32GB Black Unlocked AT&T T-Mobile Verizon - Good,45007999,Not available,Not available,from United States,Not available,2776,Good - Refurbished,havearly,10652,99.2%
Apple iPhone 8 Plus 64GB A1897 4G LTE Fully Unlocked AT&T T-Mobile Verizon Gold,13999,Not available,Not available,from United States,Not available,3026,Open Box,creo_cellular,32554,96.5%
Apple iPhone 15 128GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,59995,Not available,Not available,from United States,25% off,4428,Excellent - Refurbished,supplytronics,109834,98.4%
Samsung Galaxy S21 S21+ S21 Ultra 5G - 128GB - Unlocked Verizon T-Mobile AT&T,1799531995,Not available,Not available,from United States,Not available,3292,Very Good - Refurbished,tech-hobbies,5306,99.7%
T-Mobile REVVL 4+ Plus 5062Z 64GB LTE T-Mobile GSM Unlocked Smartphone Open Box,5999,Not available,Not available,from United States,Not available,2790,Open Box,qualitycellz,161119,100%
Samsung Galaxy A15 5G 128GB Blue Black SM-A156 Unlocked T-Mobile AT&T Verizon,1199915999,Not available,Not available,from United States,56% off,2244,Open Box,fonelogics,4986,97.2%
Mini I16 PRO small GSM  mobile smartphone dialer mobile phone dual SIM card,31503679,Not available,Not available,from China,8% off,0,Brand New,2019jingtem,1493,99%
Samsung Galaxy S22 S22+ S22 Ultra 5G - 128GB - Unlocked Verizon T-Mobile AT&T,2299531995,Not available,Not available,from United States,Not available,3380,Very Good - Refurbished,tech-hobbies,5306,99.7%
Original Nokia 8800 Mobile Phone 2G GSM Tri-band Unlocked Classic 3 Colors New,16100,Not available,18+ watchers,from China,Not available,100,Brand New,meonov,642,96.4%
Samsung Galaxy A54 5G SM-A546U 128GB Black GSM UNLOCKED - Very Good,17499,Not available,Not available,from United States,42% off,3130,Very Good - Refurbished,dealscaly,139728,98.2%
Lot of Original iPhone 2G 1st Gen 4GB 8GB 16GB mobile phone,2300146200,Not available,Not available,from China,Not available,0,Parts Only,used-phone-working-perfectly,281,95.4%
Apple iPhone 13 mini 128GB Factory Unlocked AT&T T-Mobile Verizon Very Good,32995,13 product ratings,Not available,from United States,53% off,3631,Very Good - Refurbished,supplytronics,109834,98.4%
Unlocked Phone 4G LTE | Finger Print Android 11  | 2022 Model,2999,Not available,Not available,from United States,Not available,2702,Brand New,flpanther12,5103,98.1%
"Punkt MP02A 4G LTE Black Minimalist Secure Feature Mobile Phone ""BRAND NEW""",25000,Not available,63 watchers,from United States,Not available,3351,Brand New,prime-wireless,254,100%
For i16Pro Mini Unlocked Flip Mobile Phone 2 SIM Card Small Display Foldable **-,1995,Not available,6+ watchers,from China,Not available,0,Brand New,tianbike,0,0%
Motorola Moto G Stylus 5G (2023) T-Mobile Unlocked 128GB Cosmic Black Good,9499,2 product ratings,Not available,from United States,Not available,2894,Good - Refurbished,yywirelesss,143057,97.7%
OnePlus 10T 5G 128GB Moonstone Black  T-Mobile Unlocked Smartphone - Brand New.,36999,23 product ratings,Not available,from United States,Not available,3749,Brand New,amazing-wireless,141988,99.4%
2024 New Mini Flip Mobile Phone 2 SIM Card Small Display Foldable Cel,18371928,Not available,Not available,from China,Not available,199,Brand New,electronicemporiumm,742,96.5%
Apple iPhone 13 mini A2481 T-Mobile Only 128GB Blue Good,25999,3 product ratings,Not available,from United States,Not available,3380,Good - Refurbished,yywirelesss,143057,97.7%
Motorola Moto G Stylus 2023 - Unlocked,9999,Not available,Not available,from United States,Not available,2953,Brand New,evo-wireless,1513,99.1%
7.3 inch Unlocked Android Smartphone 4G Cell Mobile Phone I15 Pro Max 8GB+128GB,855710062,Not available,Not available,from China,Not available,0,Brand New,kirinmarket,141,94.9%
Apple iPhone 13 · 128GB · All Colors · T-Mobile Only · Visible Scratches (Good),28900,2 product ratings,3+ watchers,from United States,Not available,3466,Good - Refurbished,syn_ergy,23144,97.1%
🔥 Samsung Galaxy S24 5G 🔥 128GB Unlocked / T-mobile Flawless Open Box,4250044500,Not available,Not available,from United States,Not available,3867,Open Box,learbre,8135,99.3%
