Product Name,Price,Ratings,Watchers,Country,Discount,Shipping Price,Condition,Seller Name,Seller Sold Products,Seller Ratings
Shop on eBay,2000,Not available,Not available,Not available,Not available,0,Brand New,Not available,0,Not available
Shop on eBay,2000,Not available,Not available,Not available,Not available,0,Brand New,Not available,0,Not available
"14.1"" Ultra Slim Laptop 16GB RAM 2TB SSD Intel N3700 Office Study Gaming",28535,Not available,118 watchers,Not available,Not available,0,Brand New,Not available,0,Not available
"Dynabook PORTEGE X30W-J Intel i5 1135G7 2.40GHz 8GB RAM 256GB SSD 13.3"" Win 11 -",18732,Not available,Not available,Not available,Not available,3290,Pre-Owned,Not available,0,Not available
HP Elite X2 G3 Intel Core i5-8350U 1.70GHz 126GB RAM 256GB SSD Windows 11 Pro,26145,Not available,15 watchers,Not available,Not available,7895,Excellent - Refurbished,Not available,0,Not available
"Dell Latitude Laptop PC Computer 14"" Windows 10 Core i5 8GB RAM 128GB SSD WiFi",15567,Not available,Not available,Not available,Not available,6909,Very Good - Refurbished,Not available,0,Not available
Laptop HP Windows 11 CORE i5 GEN 6 - 12TH GEN 32GB RAM 1TB SSD WEBCAM WIFI DELL,2091556213,Not available,Not available,Not available,80% off,9877,Good - Refurbished,Not available,0,Not available
"New ListingHP Elite x2 G8 Laptop, 13"" i5-1135G7, 16GB RAM, 256GB SSD WIN 11",35166,Not available,Not available,Not available,Not available,8539,Pre-Owned,Not available,0,Not available
"Dell 15.6"" NVIDIA Gaming Laptop - Intel Quad Core i7 64GB RAM 4TB SSD Windows 11",4530089600,Not available,90+ watchers,Not available,Not available,10308,Very Good - Refurbished,Not available,0,Not available
"CHEAP LENOVO LAPTOP i5 4TH GEN 12GB RAM 180GB SSD 14"" 1080P WINDOWS 10",9150,Not available,Not available,Not available,Not available,7308,Pre-Owned,Not available,0,Not available
Lenovo ThinkPad X1 Yoga Gen 4 i5 8th Gen 16GB 256GB WIN 11 Pro Laptop / Tablet,32683,Not available,Not available,Not available,Not available,10078,Pre-Owned,Not available,0,Not available
"Microsoft 14.4"" Surface Laptop Studio 2 Intel i7 16GB RAM 512GB SSD - YZZ-00001",80000,Not available,Not available,Not available,Not available,9546,Open Box,Not available,0,Not available
"HP x360 1030 G7 13.3"" Laptop 1.7GHz i5 16GB 256GB SSD Win 11 Pro (Grade A No AC)",27999,Not available,7 watchers,Not available,Not available,37928,Pre-Owned,Not available,0,Not available
SUPER FAST WINDOWS 11 CHEAP LAPTOP INTEL CORE I5 4/8/16GB RAM 1TB HDD SSD WEBCAM,1307228759,Not available,Not available,Not available,Not available,9291,Good - Refurbished,Not available,0,Not available
"Dell Laptop Latitude PC Computer 13.3"" LED Core i3 8GB RAM 128GB SSD Windows 10",8834,4 product ratings,Not available,Not available,Not available,6710,Very Good - Refurbished,Not available,0,Not available
HP Pro X2 612 G2 Tablet PENTIUM GOLD 4GB RAM 128GB SSD Windows 11 Pro Grade A+,11766,2 product ratings,Not available,Not available,40% off,7398,Very Good - Refurbished,Not available,0,Not available
FAST WINDOWS 10 LAPTOP DUAL CORE 1 YEAR WARRANTY WIRELESS 500GB HDD 4GB RAM,9150,Not available,Not available,Not available,Not available,7641,Good - Refurbished,Not available,0,Not available
"Dell Latitude 3590 Laptop 15.6"" Intel Core i5 16GB RAM 256GB SSD Windows 11 Pro",17439,Not available,Not available,Not available,Not available,7701,Very Good - Refurbished,Not available,0,Not available
Hp Elitebook 1040 G8 i7 32GB Ram 512GB SSD Touchscreen X360,63394,Not available,6 watchers,Not available,Not available,2615,Pre-Owned,Not available,0,Not available
"BLUE LENOVO T470 FAST LAPTOP CORE i5 16GB RAM 512GB SSD WINDOWS 10/11 14"" HD",2026238564,Not available,58+ watchers,Not available,Not available,8324,Very Good - Refurbished,Not available,0,Not available
Microsoft Surface Laptop 3 13 inches Intel Core i7/i5 8/16GB 256GB SSD 2019 BG,3255258827,Not available,9+ watchers,Not available,Not available,9679,Pre-Owned,Not available,0,Not available
"HP EliteBook 830 G8 13.3"" FHD TS Laptop Intel i7-1185G7 3 GHz 32GB 512GB W11P",36999,Not available,Not available,Not available,72% off,7541,Certified - Refurbished,Not available,0,Not available
"New ListingDell Latitude 9420 i7-1185G7 @3.00GHz, 16GB, 256GB, 2560x1600, Grade B, NO OS",54500,Not available,Not available,Not available,Not available,38860,Pre-Owned,Not available,0,Not available
Dell TouchScreen Laptop Latitude 5289 2-in-1 |Core i5 |8GB RAM 256GB SSD MINT,13999,Not available,33 watchers,Not available,Not available,0,Pre-Owned,Not available,0,Not available
"15.6"" Dell Latitude Laptop PC: Intel i7 Quad-Core! 32GB RAM! 1TB SSD! Windows 11",35995,Not available,Not available,Not available,Not available,9684,Good - Refurbished,Not available,0,Not available
Lenovo ThinkPad T14 Gen1 Ryzen 7 Pro 1.7GHz 32GB 512GB Win11 LIKE NEW JK1,54631,Not available,Not available,Not available,Not available,0,Pre-Owned,Not available,0,Not available
"HP EliteBook 840 G5 Laptop, 14"" i5 8th Gen, 8GB RAM, 256GB SSD, Windows 11",22223,Not available,28 watchers,Not available,Not available,8092,Pre-Owned,Not available,0,Not available
Iseries Laptop Windows 11 Refurbished 32GB RAM / 1TB SSD  14 inches,1307245754,Not available,83+ watchers,Not available,80% off,13151,Good - Refurbished,Not available,0,Not available
SUPER FAST WINDOWS 11 LAPTOP CORE I5 8GB RAM 500GB HDD SSD FREE GIFT WARRANTY,13595,Not available,Not available,Not available,Not available,8768,Good - Refurbished,Not available,0,Not available
"CHEAP Fujitsu Lifebook 15.6"" Laptop Core i5 8Gb 16GB RAM 500GB 240GB SSD Win10",1045722223,Not available,Not available,Not available,Not available,7912,Pre-Owned,Not available,0,Not available
"Ultra Slim Laptop i7 Intel Core 7500U, 14.1 Inch Windows 11, 16GB RAM , 2TB 2SSD",29500,Not available,30 watchers,Not available,Not available,2200,Brand New,Not available,0,Not available
"Dell Latitude Laptop PC Computer 14"" Core i3 8GB RAM 256GB SSD Windows 10 WiFi",11129,Not available,Not available,Not available,Not available,7515,Very Good - Refurbished,Not available,0,Not available
"HP X360 G5 2-in-1 Touchscreen Laptop 11.6"" Pentium 8GB RAM 128GB SSD Windows 10",11675,Not available,Not available,Not available,Not available,6794,Very Good - Refurbished,Not available,0,Not available
Windows 11 Laptop Dell Latitude HD Intel Core i7 6th Gen 8GB 128GB SSD Warranty,20915,Not available,Not available,Not available,Not available,8048,Good - Refurbished,Not available,0,Not available
"CHEAP Fujitsu 14"" Laptop Core i3 8Gb 16GB 120Gb 480Gb SSD Windows 10 Webcam",915019608,Not available,Not available,Not available,Not available,8326,Pre-Owned,Not available,0,Not available
"Microsoft Surface Laptop 4 13.5"" i7-1185G7 16GB RAM 256GB SSD Windows 11 Pro",37500,Not available,10 watchers,Not available,Not available,20557,Pre-Owned,Not available,0,Not available
Lenovo IdeaPad 1 15.6  FHD Laptop Intel Core i5-1235U 8GB RAM 256GB SSD Cloud Gr,31999,Not available,Not available,Not available,51% off,9091,Brand New,Not available,0,Not available
"New ListingMicrosoft Surface Book 3 15"" Quad i7 1065G7 32GB 512GB NVMe Windows 10 Laptop",71902,Not available,Not available,Not available,Not available,9807,Pre-Owned,Not available,0,Not available
"Dell Precision 5550 Laptop, 15.6"" i7 10th Gen, 32GB RAM, 512GB SSD, Windows 11",84973,Not available,Not available,Not available,Not available,10581,Pre-Owned,Not available,0,Not available
"Fast Gaming Laptop i7 Quad Up to 4.20GHz 16GB RAM 512GB SSD 14"" FHD Win11 Pro",41043,Not available,Not available,Not available,Not available,8742,Very Good - Refurbished,Not available,0,Not available
"HP X360 11 G2 2-in-1 Touch Laptop PC 11.6"" Windows 10 Core i5 8GB RAM 128GB SSD",11923,Not available,Not available,Not available,Not available,6801,Very Good - Refurbished,Not available,0,Not available
Laptop Windows 11 Pro Cheap Dell Latitude 5400 Core i5 8th Gen 32GB Ram 1TB SSD,2680045625,Not available,Not available,Not available,Not available,8545,Good - Refurbished,Not available,0,Not available
Microsoft Surface Laptop 3 13.5 Intel i7 10th gen 16GB 256GB SSD Touchscreen,32683,Not available,7 watchers,Not available,Not available,8120,Pre-Owned,Not available,0,Not available
"🔥HP Spectre x360 16"" 4k Screen Intel i7  16GB-RAM  1TB-SSD NVIDIA GeForce GTX🔥",117656,Not available,Not available,Not available,Not available,13015,Pre-Owned,Not available,0,Not available
"Dell XPS 13 7390 GEN 10 Laptop 13.3"", 8GB/512GB SSD, i5- 10210U, Windows 11 Pro",37258,Not available,Not available,Not available,Not available,8611,Pre-Owned,Not available,0,Not available
"Dell Inspiron 15 3520 15.6"" 12th Gen Intel® Core™ i7-1255U 1 TB SSD 16 GB DDR4",47999,Not available,Not available,Not available,31% off,10039,Brand New,Not available,0,Not available
"Job Lot x 7 Lenovo X240, No SSD, No Chargers, 4GB RAM, Tested, Faults Read Desc.",21570,Not available,25 watchers,Not available,Not available,8739,Pre-Owned,Not available,0,Not available
Lenovo Thinkpad X1 Carbon Intel i7-8th Gen LOT x 25 Details GRADE B (Bios Lock),250000,Not available,2 watchers,Not available,Not available,38290,Pre-Owned,Not available,0,Not available
"GAMING LENOVO LAPTOP FAST i7 32GB RAM 512GB SSD WINDOWS 10/11 NVIDIA 15.6"" FHD",3268149022,Not available,Not available,Not available,Not available,9018,Very Good - Refurbished,Not available,0,Not available
"HP 16-xf0033dx 16.1"" FHD Laptop Ryzen 9 7940HS RTX 4070 16GB DDR5 512GB SSD W11H",96500,Not available,Not available,Not available,33% off,15154,Certified - Refurbished,Not available,0,Not available
"13.3"" Dell Latitude 2-in-1 Laptop: Intel i7!  16GB RAM! 256GB SSD! Windows 11!",28999,Not available,Not available,Not available,Not available,7305,Good - Refurbished,Not available,0,Not available
"Samsung Galaxy Book4 Laptop Core 5 120U 8GB RAM 256GB SSD 15.6"" FHD Win 11 Home",58827,Not available,Not available,Not available,44% off,9355,Brand New,Not available,0,Not available
"HP Spectre x360 16t 16 Touch Laptop PC 16"" i7 16GB 512GB SSD W11 Pen & Case",74953,Not available,Not available,Not available,Not available,11316,Open Box,Not available,0,Not available
"Lenovo ThinkPad X1 Carbon 14"" Laptop Core i7 16GB RAM 256GB SSD Windows 11 Pro",30271,Not available,274 watchers,Not available,Not available,8079,Very Good - Refurbished,Not available,0,Not available
"Lenovo Ideapad 5 2-In-1 Laptop AMD Ryzen 7 8845HS 3.80 GHz 16GB 1TB SSD 14.0"" To",45999,Not available,37 watchers,Not available,23% off,9504,Excellent - Refurbished,Not available,0,Not available
"Lenovo IdeaPad 5 14AHP9 14"" 2-in-1 Touchscreen Laptop, AMD Ryzen 7 8845HS Ob A",40000,Not available,25 watchers,Not available,Not available,10758,Open Box,Not available,0,Not available
"Samsung - Galaxy Book4 15.6"" FHD Laptop - Intel Core 7- 16GB Memory - 512GB SSD",56999,Not available,122 watchers,Not available,Not available,8868,Brand New,Not available,0,Not available
"Acer Nitro V 15.6"" FHD 144Hz Gaming Laptop i5-13420H 16GB RAM 512GB SSD RTX 4050",67999,Not available,Not available,Not available,24% off,10153,Brand New,Not available,0,Not available
"HP 14"" Laptop Computers  Intel Pentium Silver UP to 32GB RAM, 2TB SSD Win 11 Pro",2259949999,Not available,Not available,Not available,Not available,8561,Brand New,Not available,0,Not available
"Lenovo Ideapad 5 14"" 2-in-1 Touch Laptop Ryzen 7 8845HS 16GB 1TB SSD 83DR000GUS",47900,Not available,216 watchers,Not available,Not available,9560,Open Box,Not available,0,Not available
"15.6"" FHD Dell Gaming Laptop PC: Intel i7! 16GB RAM! 512 SSD! Nvidia Quadro P600",28999,Not available,Not available,Not available,Not available,9002,Excellent - Refurbished,Not available,0,Not available
"Dell Latitude Laptop PC 14"" FHD Core i5 11th Gen 16GB RAM 512GB SSD Windows 11",28541,Not available,Not available,Not available,Not available,8028,Very Good - Refurbished,Not available,0,Not available
"Dell laptop Latitude 7480 14"" i7 2.60GHz 16GB NEW 512GB SSD Win 11 Pro WIFI Cam",24999,Not available,Not available,Not available,Not available,3351,Excellent - Refurbished,Not available,0,Not available
"Lenovo Thinkpad 14"" FHD Gaming Laptop AMD Ryzen 5 PRO 4.0GHz 32GB RAM 4TB SSD",3849974500,Not available,Not available,Not available,Not available,9290,Very Good - Refurbished,Not available,0,Not available
HP EliteBook 830 G5 13.3” Laptop Computer Core i5 16GB RAM 512GB SSD Windows 11,18700,Not available,Not available,Not available,Not available,7738,Very Good - Refurbished,Not available,0,Not available
"Dell Latitude 7400 14"" Laptop PC Intel Quad Core i5 8GB RAM 256GB SSD Windows 11",18499,Not available,Not available,Not available,Not available,7732,Very Good - Refurbished,Not available,0,Not available
"HP ProBook 15.6"" Laptop PC: Intel i5! 8GB RAM! 512GB SSD! Windows 10!",17995,Not available,Not available,Not available,Not available,9153,Very Good - Refurbished,Not available,0,Not available
"Lenovo ThinkPad 15.6"" Laptop PC Computer Core i5 16GB RAM 256GB SSD Windows 10",16980,Not available,Not available,Not available,Not available,8648,Very Good - Refurbished,Not available,0,Not available
"Lenovo ThinkPad T480 14"" FHD i5 8350u 16GB 512gb NVME WIFI CAM WIN 11 PRO laptop",25999,Not available,Not available,Not available,Not available,3380,Excellent - Refurbished,Not available,0,Not available
POWERFUL i7 GAMING LAPTOP NVIDIA 32GB RAM 1TB SSD WINDOWS 10/11 - BUILD YOUR OWN,3529690202,Not available,Not available,Not available,Not available,10559,Very Good - Refurbished,Not available,0,Not available
Dell Latitude 7400 Gaming Laptop PC Intel Core i7 4.2GHz 64GB RAM 4TB SSD Win 11,3150066700,Not available,12+ watchers,Not available,Not available,9154,Very Good - Refurbished,Not available,0,Not available
"FHD Dell Precision 15.6"" Gaming Laptop PC Intel i7-8850H 24GB RAM 1TB SSD NVIDIA",32995,Not available,Not available,Not available,Not available,9596,Excellent - Refurbished,Not available,0,Not available
"Dell Latitude 7400 Laptop PC Core i5 14"" FHD 16GB RAM 256GB SSD NVMe Windows 11",17953,Not available,102 watchers,Not available,Not available,7716,Very Good - Refurbished,Not available,0,Not available
Dell Latitude 5320 13.3 FHD Laptop Intel Core i7 1185G7 32GB 512GB SSD Win11 Pro,32399,Not available,58 watchers,Not available,68% off,10602,Excellent - Refurbished,Not available,0,Not available
"Dell 15.6"" Laptop PC Intel Core i5 3.60GHz 64GB RAM 4TB SSD Wi-Fi Windows 11 Pro",2650062800,Not available,Not available,Not available,Not available,9039,Very Good - Refurbished,Not available,0,Not available
"Lenovo Thinkpad T570 15.6"" Laptop Core i7 2.80GHz 32gb 512gb SSD WIN 11 pro FHD",34999,Not available,Not available,Not available,Not available,8219,Excellent - Refurbished,Not available,0,Not available
"2024 HP Laptop Computer 14"" HD Quad-Core Intel Pentium Upto 32GB RAM & 1TB SSD",2290038900,Not available,4+ watchers,Not available,Not available,7891,Brand New,Not available,0,Not available
Cheap Gaming Laptop Fast RYZEN 5 16GB RAM 256GB SSD 13.3 FHD Win11 Vega 8 PC,33859,Not available,92 watchers,Not available,Not available,8495,Very Good - Refurbished,Not available,0,Not available
"Dell Latitude 3500 15.6"" Touch Laptop Core i5 32GB RAM 512GB SSD Windows 11 Pro",25081,Not available,Not available,Not available,Not available,9362,Very Good - Refurbished,Not available,0,Not available
"HP Laptop 15.6"" Full HD  Intel - 8GB RAM 256GB SSD - Windows 11 + Ms Office Pro",32552,Not available,25 watchers,Not available,Not available,8449,New (Other),Not available,0,Not available
"Dell Latitude 14"" FHD Core i5 Laptop PC Computer Windows 11 16GB RAM 512GB SSD",20999,10 product ratings,Not available,Not available,Not available,7806,Very Good - Refurbished,Not available,0,Not available
Dell Latitude 7400 Gaming Laptop PC Intel Core i7 4.2GHz 64GB RAM 4TB SSD Win 11,3980084100,Not available,11+ watchers,Not available,Not available,9667,Very Good - Refurbished,Not available,0,Not available
"Microsoft Surface Laptop 4 13.5"" 5GB-00021 w/i7-1185G7 3GHz/32GB/1TB - Good",69920,Not available,105 watchers,Not available,Not available,8512,Good - Refurbished,Not available,0,Not available
